#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V3890 Sgr,q,2450627.81000,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450628.75300,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450629.92100,V,,14.800,0.15,AAVSO
V3890 Sgr,q,2450633.91300,V,,14.000,0.15,AAVSO
V3890 Sgr,q,2450635.70000,V,,14.300,0.15,AAVSO
V3890 Sgr,q,2450635.78400,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450640.60000,V,,14.600,0.15,AAVSO
V3890 Sgr,q,2450642.72200,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450658.70100,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450659.60000,V,,14.600,0.15,AAVSO
V3890 Sgr,q,2450659.68800,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450660.70400,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450661.72400,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450668.60000,V,,14.300,0.15,AAVSO
V3890 Sgr,q,2450684.60000,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450693.34600,V,,14.100,0.15,AAVSO
V3890 Sgr,q,2450695.94500,V,,14.900,0.15,AAVSO
V3890 Sgr,q,2450696.65400,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2450714.00000,V,,14.300,0.15,AAVSO
V3890 Sgr,q,2450719.52000,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450724.98400,V,,14.400,0.15,AAVSO
V3890 Sgr,q,2450727.50000,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450908.20000,V,,15.800,0.15,AAVSO
V3890 Sgr,q,2450951.75200,V,,14.800,0.15,AAVSO
V3890 Sgr,q,2451279.87800,V,,14.900,0.15,AAVSO
V3890 Sgr,q,2451292.84600,V,,15.200,0.15,AAVSO
V3890 Sgr,q,2451304.81700,V,,15.500,0.15,AAVSO
V3890 Sgr,q,2451312.81200,V,,15.300,0.15,AAVSO
V3890 Sgr,q,2451319.79300,V,,15.400,0.15,AAVSO
V3890 Sgr,q,2451326.74800,V,,15.400,0.15,AAVSO
V3890 Sgr,q,2451341.78300,V,,15.000,0.15,AAVSO
V3890 Sgr,q,2451348.71300,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2451348.76000,V,,15.000,0.15,AAVSO
V3890 Sgr,q,2451359.73100,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2451367.76700,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2451370.74600,V,,15.300,0.15,AAVSO
V3890 Sgr,q,2451372.72600,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2451386.67800,V,,15.200,0.15,AAVSO
V3890 Sgr,q,2451396.68800,V,,15.200,0.15,AAVSO
V3890 Sgr,q,2451406.82400,V,,15.500,0.15,AAVSO
V3890 Sgr,q,2451462.94000,V,,13.900,0.15,AAVSO
V3890 Sgr,q,2451691.33100,V,,15.200,0.15,AAVSO
V3890 Sgr,q,2452084.73700,V,,14.900,0.15,AAVSO
V3890 Sgr,q,2452103.75600,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2452104.68800,V,,15.200,0.15,AAVSO
V3890 Sgr,q,2452143.61400,V,,15.300,0.15,AAVSO
V3890 Sgr,q,2452830.90200,I,,13.160,0.07,ROTSE IIIa
V3890 Sgr,q,2452830.90300,I,,13.080,0.05,ROTSE IIIa
V3890 Sgr,q,2452834.89100,I,,13.020,0.05,ROTSE IIIa
V3890 Sgr,q,2452834.89100,I,,12.990,0.05,ROTSE IIIa
V3890 Sgr,q,2452835.88900,I,,13.090,0.04,ROTSE IIIa
V3890 Sgr,q,2452835.88900,I,,13.070,0.04,ROTSE IIIa
V3890 Sgr,q,2452836.95100,I,,13.140,0.02,ROTSE IIIa
V3890 Sgr,q,2452836.95200,I,,13.130,0.03,ROTSE IIIa
V3890 Sgr,q,2452837.88400,I,,13.140,0.03,ROTSE IIIa
V3890 Sgr,q,2452837.88500,I,,13.120,0.03,ROTSE IIIa
V3890 Sgr,q,2452840.09800,I,,13.140,0.08,ROTSE IIIa
V3890 Sgr,q,2452840.09900,I,,13.160,0.09,ROTSE IIIa
V3890 Sgr,q,2452840.87600,I,,13.120,0.03,ROTSE IIIa
V3890 Sgr,q,2452840.87700,I,,13.140,0.03,ROTSE IIIa
V3890 Sgr,q,2452843.12900,I,,13.180,0.05,ROTSE IIIa
V3890 Sgr,q,2452843.13000,I,,13.160,0.06,ROTSE IIIa
