#HJD,Obs.date,Mag,e_Mag,Band
2456338.342,2013-02-15,14.191,0.010,IC
2456342.321,2013-02-19,14.249,0.008,RC
2456342.321,2013-02-19,14.410,0.009,V
2456342.321,2013-02-19,14.792,0.011,B
2456342.321,2013-02-19,14.097,0.008,IC
2456352.336,2013-03-01,14.763,0.015,RC
2456352.336,2013-03-01,14.991,0.013,V
2456352.336,2013-03-01,15.295,0.013,B
2456352.336,2013-03-01,14.487,0.019,IC
2456356.305,2013-03-05,14.906,0.008,RC
2456356.305,2013-03-05,15.177,0.009,V
2456356.305,2013-03-05,15.451,0.010,B
2456356.305,2013-03-05,14.565,0.010,IC
2456367.310,2013-03-16,--,--,RC
2456367.310,2013-03-16,14.511,0.012,V
2456367.310,2013-03-16,--,--,B
2456367.310,2013-03-16,14.016,0.012,IC
2456373.306,2013-03-22,--,--,RC
2456373.306,2013-03-22,14.535,0.015,V
2456373.306,2013-03-22,--,--,B
2456373.306,2013-03-22,14.097,0.013,IC
